               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022084,            0.012453,           0.0030242,             0.96646,             0.96942,              0.9702,             0.83392,            0.018728,           0.0076563,           0.0028985,             0.00769,             0.00769,             0.00769
                  37,            0.021221,            0.012194,             0.00299,             0.96335,             0.96951,             0.96938,             0.84128,            0.014775,           0.0070093,           0.0029177,            0.007624,            0.007624,            0.007624
                  38,            0.020458,            0.011957,             0.00297,             0.96388,             0.97009,             0.96818,             0.85362,            0.017424,           0.0078056,           0.0030322,            0.007558,            0.007558,            0.007558
                  39,            0.020126,              0.0113,           0.0025901,             0.96099,             0.96712,             0.96757,             0.85466,            0.014764,           0.0073612,           0.0029027,            0.007492,            0.007492,            0.007492
                  40,             0.01999,            0.011311,           0.0026049,             0.96669,             0.96961,             0.97209,             0.86918,            0.015346,           0.0073824,           0.0029137,            0.007426,            0.007426,            0.007426
                  41,            0.019991,            0.011986,            0.002726,             0.96231,             0.97317,                0.97,             0.84801,            0.015461,           0.0074496,           0.0029819,             0.00736,             0.00736,             0.00736
                  42,            0.019693,            0.011577,           0.0028007,             0.96634,             0.97261,             0.97258,             0.87842,            0.016004,           0.0073426,           0.0028234,            0.007294,            0.007294,            0.007294
                  43,            0.019534,            0.011911,           0.0027897,             0.96454,             0.97315,              0.9728,              0.8565,            0.014851,           0.0070097,           0.0027779,            0.007228,            0.007228,            0.007228
                  44,            0.019798,            0.011867,           0.0024404,             0.96348,             0.97227,             0.97123,             0.87111,            0.012041,           0.0071125,            0.002856,            0.007162,            0.007162,            0.007162
                  45,            0.019411,            0.011973,           0.0026078,             0.97196,             0.96931,             0.97387,             0.88893,            0.014816,           0.0075843,           0.0027691,            0.007096,            0.007096,            0.007096
                  46,            0.019172,            0.011471,           0.0024577,             0.96388,             0.96741,             0.97464,             0.88476,            0.014515,           0.0072002,           0.0025987,             0.00703,             0.00703,             0.00703
                  47,            0.019235,            0.011752,           0.0022874,              0.9656,             0.97711,             0.97372,             0.88895,            0.014789,            0.007127,            0.002541,            0.006964,            0.006964,            0.006964
                  48,            0.018889,            0.011774,           0.0024157,             0.96486,             0.97292,             0.97179,             0.88677,            0.014324,           0.0073898,           0.0027129,            0.006898,            0.006898,            0.006898
                  49,            0.018146,            0.010708,           0.0025278,             0.96897,              0.9641,             0.97347,             0.86687,            0.014073,            0.007535,           0.0026289,            0.006832,            0.006832,            0.006832
                  50,            0.018619,            0.011392,           0.0022495,             0.97306,             0.96407,              0.9738,             0.88922,            0.012287,           0.0068128,           0.0025287,            0.006766,            0.006766,            0.006766
                  51,            0.017966,            0.010852,           0.0023311,             0.96993,             0.97374,             0.97528,             0.88738,            0.012172,            0.006824,           0.0025743,              0.0067,              0.0067,              0.0067
                  52,            0.018251,            0.010799,           0.0023381,             0.96558,             0.97315,             0.97262,             0.88176,            0.011788,           0.0070667,            0.002546,            0.006634,            0.006634,            0.006634
                  53,            0.017286,            0.010809,           0.0023226,             0.97011,             0.95933,             0.97226,             0.88194,            0.014602,           0.0069964,           0.0024968,            0.006568,            0.006568,            0.006568
                  54,            0.017983,            0.010722,           0.0020808,             0.96545,             0.96937,             0.97367,             0.87803,            0.013106,           0.0071173,           0.0025407,            0.006502,            0.006502,            0.006502
                  55,            0.017644,            0.011402,           0.0021853,               0.969,             0.97351,             0.96914,             0.87726,            0.012094,           0.0070722,           0.0026816,            0.006436,            0.006436,            0.006436
                  56,            0.017273,            0.011327,           0.0022481,             0.96275,             0.96803,             0.97251,             0.89491,             0.01196,           0.0070872,           0.0024004,             0.00637,             0.00637,             0.00637
                  57,            0.017386,            0.011185,           0.0022044,             0.96022,             0.96973,             0.97178,             0.90615,              0.0118,           0.0068805,           0.0026008,            0.006304,            0.006304,            0.006304
                  58,            0.017352,            0.010988,           0.0020102,             0.97227,             0.96771,             0.96929,             0.87176,            0.012817,           0.0073872,           0.0024131,            0.006238,            0.006238,            0.006238
                  59,            0.017126,             0.01083,           0.0021988,             0.96587,             0.97109,             0.97027,             0.86984,            0.013033,           0.0070961,            0.002511,            0.006172,            0.006172,            0.006172
                  60,            0.017224,            0.011282,           0.0022624,             0.96461,             0.97289,             0.97229,             0.88883,            0.010901,           0.0066352,            0.002372,            0.006106,            0.006106,            0.006106
                  61,            0.016835,             0.01101,           0.0020476,             0.96697,              0.9691,             0.97041,             0.90052,            0.013157,           0.0072341,           0.0023226,             0.00604,             0.00604,             0.00604
                  62,            0.016699,            0.010692,           0.0019025,             0.97052,             0.97246,              0.9704,             0.88151,            0.013078,           0.0071676,           0.0023845,            0.005974,            0.005974,            0.005974
                  63,            0.016126,            0.010495,           0.0019735,             0.96032,             0.97262,             0.97455,             0.92461,            0.010785,           0.0071208,           0.0023473,            0.005908,            0.005908,            0.005908
                  64,             0.01657,            0.010908,           0.0019151,             0.97214,             0.97275,             0.97473,             0.88425,            0.011217,           0.0069308,           0.0022829,            0.005842,            0.005842,            0.005842
                  65,            0.016562,           0.0099511,           0.0019192,             0.96926,             0.97168,             0.97462,             0.89846,            0.012294,           0.0069399,            0.002228,            0.005776,            0.005776,            0.005776
                  66,            0.016202,            0.011202,           0.0019084,             0.97047,             0.97575,             0.97611,             0.92136,            0.011651,            0.006757,           0.0023695,             0.00571,             0.00571,             0.00571
                  67,            0.015729,            0.010514,           0.0019078,             0.97178,              0.9705,             0.97447,             0.88745,            0.011185,           0.0065649,           0.0022173,            0.005644,            0.005644,            0.005644
                  68,            0.015673,            0.010412,           0.0017674,             0.96909,             0.97011,             0.97279,             0.89673,             0.01128,           0.0065637,           0.0021701,            0.005578,            0.005578,            0.005578
